"","landslide_category","landslide_trigger","landslide_size","landslide_setting","fatality_count","injury_count","country_name","year"
"3181","landslide","rain","medium","unknown",NA,NA,"Philippines","09"
"3182","mudslide","downpour","medium","unknown",0,NA,"Colombia","10"
"3183","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3184","landslide","downpour","medium","unknown",0,NA,"India","11"
"3185","landslide","downpour","medium","unknown",0,NA,"Sri Lanka","11"
"3186","landslide","rain","medium","above_road",0,NA,"Romania","10"
"3187","complex","tropical_cyclone","medium","unknown",NA,NA,"Philippines","07"
"3188","landslide","unknown","unknown","above_road",0,0,"United States","11"
"3189","landslide","downpour","medium","unknown",0,NA,"Philippines","11"
"3190","landslide","downpour","medium","unknown",0,NA,"India","11"
"3191","landslide","downpour","medium","unknown",0,NA,"Trinidad and Tobago","11"
"3192","landslide","downpour","medium","unknown",0,NA,"Pakistan","10"
"3193","rock_fall","downpour","small","unknown",2,NA,"India","13"
"3194","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3195","landslide","continuous_rain","small","unknown",1,1,"India","15"
"3196","landslide","rain","small","unknown",0,NA,"Australia","13"
"3197","landslide","downpour","medium","unknown",2,NA,"India","10"
"3198","landslide","downpour","medium","unknown",1,NA,"Philippines","11"
"3199","landslide","unknown","unknown","above_road",0,0,"United States","16"
"3200","landslide","downpour","medium","unknown",NA,NA,"United States","13"
"3201","landslide","downpour","small","above_road",0,0,"Nepal","14"
"3202","landslide","rain","medium","unknown",0,0,"India","15"
"3203","mudslide","downpour","large","above_road",0,0,"United States","14"
"3204","landslide","downpour","medium","unknown",0,NA,"Uganda","11"
"3205","rock_fall","freeze_thaw","small","above_road",0,0,"United States","16"
"3206","landslide","rain","medium","unknown",1,0,"Guatemala","15"
"3207","landslide","downpour","medium","unknown",0,NA,"Indonesia","10"
"3208","landslide","downpour","small","unknown",0,NA,"United States","10"
"3209","complex","downpour","large","unknown",3,NA,"Indonesia","11"
"3210","landslide","unknown","unknown","above_road",0,0,"United States","15"
"3211","landslide","unknown","unknown","above_road",0,0,"United States","11"
"3212","mudslide","downpour","medium","unknown",0,NA,"Japan","10"
"3213","landslide","downpour","medium","bluff",0,0,"Italy","14"
"3214","landslide","downpour","small","above_road",0,0,"United States","07"
"3215","landslide","downpour","large","unknown",0,NA,"India","10"
"3216","landslide","downpour","medium","unknown",0,NA,"Fiji","10"
"3217","mudslide","downpour","medium","unknown",0,NA,"United States","13"
"3218","landslide","continuous_rain","medium","above_road",0,0,"Philippines","15"
"3219","landslide","unknown","unknown","above_road",0,0,"United States","15"
"3220","landslide","rain","medium","unknown",0,NA,"Vanuatu","13"
"3221","rock_fall","unknown","medium","unknown",0,NA,"Canada","13"
"3222","landslide","downpour","medium","unknown",0,NA,"Brazil","10"
"3223","mudslide","downpour","medium","above_road",0,0,"Kyrgyzstan","16"
"3224","landslide","downpour","large","unknown",NA,NA,"Afghanistan","10"
"3225","landslide","continuous_rain","medium","unknown",NA,NA,"Mexico","13"
"3226","landslide","unknown","small","below_road",0,0,"United States","15"
"3227","landslide","unknown","medium","below_road",0,0,"United States","14"
"3228","landslide","downpour","medium","unknown",0,NA,"Philippines","11"
"3229","mudslide","tropical_cyclone","medium","unknown",NA,NA,"China","08"
"3230","landslide","construction","small","other",0,0,"United States","16"
"3231","landslide","downpour","medium","unknown",0,NA,"Philippines","11"
"3232","landslide","rain","medium","unknown",0,NA,"United States","13"
"3233","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3234","landslide","rain","medium","unknown",NA,NA,"India","08"
"3235","landslide","continuous_rain","medium","natural_slope",0,0,"Malaysia","15"
"3236","landslide","snowfall","large","unknown",0,0,"India","14"
"3237","landslide","downpour","small","unknown",0,NA,"China","11"
"3238","landslide","monsoon","large","above_road",0,0,"India","16"
"3239","landslide","downpour","medium","unknown",0,NA,"Nepal","09"
"3240","rock_fall","freeze_thaw","small","above_road",0,0,"Canada","16"
"3241","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3242","landslide","downpour","medium","above_road",5,8,"India","16"
"3243","landslide","unknown","medium","above_road",0,0,"Nepal","14"
"3244","landslide","rain","medium","unknown",3,2,"India","13"
"3245","landslide","downpour","medium","unknown",5,NA,"Uganda","10"
"3246","landslide","downpour","small","unknown",0,NA,"United States","11"
"3247","landslide","unknown","small","unknown",0,0,"Japan","14"
