Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sub-Saharan Africa (IDA & IBRD countries),TSS,808660166,830965556,853953657,877628367,901989926,927039875,952734072,979017918,1005850049,1033212743
Trinidad and Tobago,TTO,1309260,1315372,1321618,1328100,1334788,1341588,1348248,1354493,1360092,1364962
Tunisia,TUN,10298087,10407336,10521834,10639931,10761467,10886668,11014558,11143908,11273661,11403248
Turkey,TUR,69597281,70440032,71339185,72326914,73409455,74569867,75787333,77030628,78271472,79512426
Tuvalu,TUV,10243,10340,10441,10531,10628,10725,10819,10908,11001,11097
Tanzania,TZA,41923715,43270144,44664231,46098591,47570902,49082997,50636595,52234869,53879957,55572201
Uganda,UGA,30590487,31663896,32771895,33915133,35093648,36306796,37553726,38833338,40144870,41487965
Ukraine,UKR,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645
Upper middle income,UMC,2386824787,2404283410,2422393813,2440543075,2459175685,2478491686,2498184210,2517979764,2537437057,2556921923
Uruguay,URY,3339741,3350824,3362755,3374415,3385624,3396777,3408005,3419546,3431552,3444006
United States,USA,301231207,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935
Uzbekistan,UZB,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900
St. Vincent and the Grenadines,VCT,109047,109165,109253,109315,109341,109328,109320,109357,109455,109643
"Venezuela, RB",VEN,27691965,28141701,28587323,29028033,29463291,29893080,30317848,30738378,31155134,31568179
British Virgin Islands,VGB,24731,25604,26447,27224,27901,28509,29056,29588,30113,30661
Virgin Islands (U.S.),VIR,108339,108399,108405,108358,108292,108191,108044,107884,107710,107510
Vietnam,VNM,85889590,86707801,87565407,88472512,89436644,90451881,91497725,92544915,93571567,94569072
Vanuatu,VUT,219953,225340,230785,236295,241871,247485,253142,258850,264603,270402
World,WLD,6683223772,6766296679,6849569339,6932869743,7014983968,7099557649,7185137526,7271322821,7357559450,7444157356
Samoa,WSM,182286,183526,184826,186205,187665,189194,190757,192290,193759,195125
Kosovo,XKX,1733404,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200
"Yemen, Rep.",YEM,21751605,22356391,22974929,23606779,24252206,24909969,25576322,26246327,26916207,27584213
South Africa,ZAF,49887181,50412129,50970818,51584663,52263516,52998213,53767396,54539571,55291225,56015473
Zambia,ZMB,12725974,13082517,13456417,13850033,14264756,14699937,15153210,15620974,16100587,16591390
Zimbabwe,ZWE,13329909,13558469,13810599,14086317,14386649,14710826,15054506,15411675,15777451,16150362
